Id,income,income_binary,is_conflicting_duplicate_features
16399,<=50K,0,False
16400,>50K,1,False
16401,<=50K,0,False
16402,>50K,1,False
16403,<=50K,0,False
16404,<=50K,0,False
16405,<=50K,0,False
16406,<=50K,0,False
16407,>50K,1,False
16408,<=50K,0,False
16409,<=50K,0,False
16410,>50K,1,False
16411,>50K,1,False
16412,<=50K,0,False
16413,<=50K,0,False
16414,<=50K,0,False
16415,>50K,1,False
16416,>50K,1,False
16417,<=50K,0,False
16418,<=50K,0,False
16419,<=50K,0,False
16420,>50K,1,False
16421,<=50K,0,False
16422,<=50K,0,False
16423,<=50K,0,False
16424,<=50K,0,False
16425,<=50K,0,False
16426,<=50K,0,False
16427,<=50K,0,False
16428,>50K,1,False
16429,<=50K,0,False
16430,>50K,1,False
16431,>50K,1,False
16432,<=50K,0,False
16433,<=50K,0,False
16434,<=50K,0,False
16435,<=50K,0,False
16436,<=50K,0,False
16437,<=50K,0,False
16438,>50K,1,False
16439,>50K,1,False
16440,<=50K,0,False
16441,<=50K,0,False
16442,>50K,1,False
16443,>50K,1,False
16444,<=50K,0,False
16445,<=50K,0,False
16446,<=50K,0,False
16447,<=50K,0,False
16448,<=50K,0,False
16449,>50K,1,False
16450,<=50K,0,False
16451,<=50K,0,False
16452,<=50K,0,False
16453,<=50K,0,False
16454,<=50K,0,False
16455,<=50K,0,False
16456,<=50K,0,False
16457,<=50K,0,False
16458,<=50K,0,False
16459,>50K,1,False
16460,<=50K,0,False
16461,>50K,1,False
16462,<=50K,0,False
16463,<=50K,0,False
16464,<=50K,0,False
16465,>50K,1,False
16466,<=50K,0,False
16467,>50K,1,False
16468,>50K,1,False
16469,<=50K,0,False
16470,>50K,1,False
16471,<=50K,0,False
16472,>50K,1,False
16473,<=50K,0,False
16474,<=50K,0,False
16475,>50K,1,False
16476,<=50K,0,False
16477,<=50K,0,False
16478,<=50K,0,False
16479,<=50K,0,False
16480,<=50K,0,False
16481,>50K,1,False
16482,>50K,1,False
16483,<=50K,0,False
16484,>50K,1,False
16485,<=50K,0,False
16486,>50K,1,False
16487,>50K,1,False
16488,<=50K,0,False
16489,<=50K,0,False
16490,<=50K,0,False
16491,<=50K,0,False
16492,<=50K,0,False
16493,>50K,1,False
16494,<=50K,0,False
16495,<=50K,0,False
16496,<=50K,0,False
16497,<=50K,0,False
16498,>50K,1,False
16499,<=50K,0,False
16500,<=50K,0,False
16501,<=50K,0,False
16502,<=50K,0,False
16503,<=50K,0,False
16504,<=50K,0,False
16505,<=50K,0,False
16506,>50K,1,False
16507,<=50K,0,False
16508,<=50K,0,False
16509,<=50K,0,False
16510,<=50K,0,False
16511,<=50K,0,False
16512,<=50K,0,False
16513,<=50K,0,False
16514,<=50K,0,False
16515,<=50K,0,False
16516,>50K,1,False
16517,>50K,1,False
16518,>50K,1,False
16519,<=50K,0,False
16520,<=50K,0,False
16521,<=50K,0,False
16522,<=50K,0,False
16523,<=50K,0,False
16524,<=50K,0,False
16525,<=50K,0,False
16526,<=50K,0,False
16527,<=50K,0,False
16528,<=50K,0,False
16529,>50K,1,False
16530,<=50K,0,False
16531,>50K,1,False
16532,<=50K,0,False
16533,<=50K,0,False
16534,>50K,1,False
16535,>50K,1,False
16536,<=50K,0,False
16537,<=50K,0,False
16538,<=50K,0,False
16539,<=50K,0,False
16540,<=50K,0,False
16541,<=50K,0,False
16542,<=50K,0,False
16543,<=50K,0,False
16544,<=50K,0,False
16545,<=50K,0,False
16546,<=50K,0,False
16547,<=50K,0,False
16548,<=50K,0,False
16549,<=50K,0,False
16550,<=50K,0,False
16551,<=50K,0,False
16552,<=50K,0,False
16553,<=50K,0,False
16554,<=50K,0,False
16555,>50K,1,False
16556,<=50K,0,False
16557,<=50K,0,False
16558,<=50K,0,False
16559,<=50K,0,False
16560,>50K,1,False
16561,<=50K,0,False
16562,<=50K,0,False
16563,<=50K,0,False
16564,<=50K,0,False
16565,<=50K,0,False
16566,<=50K,0,False
16567,<=50K,0,False
16568,<=50K,0,False
16569,<=50K,0,False
16570,<=50K,0,False
16571,<=50K,0,False
16572,<=50K,0,False
16573,<=50K,0,False
16574,>50K,1,False
16575,>50K,1,False
16576,<=50K,0,False
16577,<=50K,0,False
16578,<=50K,0,False
16579,<=50K,0,False
16580,<=50K,0,False
16581,<=50K,0,False
16582,>50K,1,False
16583,<=50K,0,False
16584,<=50K,0,False
16585,<=50K,0,False
16586,<=50K,0,False
16587,<=50K,0,False
16588,<=50K,0,False
16589,<=50K,0,False
16590,>50K,1,False
16591,<=50K,0,False
16592,<=50K,0,False
16593,>50K,1,False
16594,<=50K,0,False
16595,>50K,1,False
16596,<=50K,0,False
16597,<=50K,0,False
16598,<=50K,0,False
16599,>50K,1,False
16600,<=50K,0,False
16601,<=50K,0,False
16602,<=50K,0,False
16603,<=50K,0,False
16604,<=50K,0,False
16605,<=50K,0,False
16606,<=50K,0,False
16607,<=50K,0,False
16608,<=50K,0,False
16609,<=50K,0,False
16610,<=50K,0,False
16611,>50K,1,False
16612,<=50K,0,False
16613,<=50K,0,False
16614,>50K,1,False
16615,<=50K,0,False
16616,<=50K,0,False
16617,>50K,1,False
16618,<=50K,0,False
16619,>50K,1,False
16620,<=50K,0,False
16621,<=50K,0,False
16622,<=50K,0,False
16623,<=50K,0,False
16624,<=50K,0,False
16625,<=50K,0,False
16626,<=50K,0,False
16627,>50K,1,False
16628,<=50K,0,False
16629,<=50K,0,False
16630,>50K,1,False
16631,<=50K,0,False
16632,<=50K,0,False
16633,<=50K,0,False
16634,<=50K,0,False
16635,>50K,1,False
16636,>50K,1,False
16637,<=50K,0,False
16638,<=50K,0,False
16639,<=50K,0,False
16640,<=50K,0,False
16641,<=50K,0,False
16642,>50K,1,False
16643,>50K,1,False
16644,<=50K,0,False
16645,>50K,1,False
16646,<=50K,0,False
16647,<=50K,0,False
16648,>50K,1,False
16649,<=50K,0,False
16650,<=50K,0,False
16651,>50K,1,False
16652,<=50K,0,False
16653,<=50K,0,False
16654,<=50K,0,False
16655,>50K,1,False
16656,>50K,1,False
16657,<=50K,0,False
16658,<=50K,0,False
16659,<=50K,0,False
16660,<=50K,0,False
16661,<=50K,0,False
16662,<=50K,0,False
16663,>50K,1,False
16664,>50K,1,False
16665,<=50K,0,False
16666,<=50K,0,False
16667,<=50K,0,False
16668,<=50K,0,False
16669,<=50K,0,False
16670,<=50K,0,False
16671,<=50K,0,False
16672,>50K,1,False
16673,>50K,1,False
16674,<=50K,0,False
16675,<=50K,0,False
16676,>50K,1,False
16677,<=50K,0,False
16678,<=50K,0,False
16679,<=50K,0,False
16680,<=50K,0,False
16681,<=50K,0,False
16682,<=50K,0,False
16683,>50K,1,False
16684,>50K,1,False
16685,<=50K,0,False
16686,>50K,1,False
16687,<=50K,0,False
16688,<=50K,0,False
16689,<=50K,0,False
16690,<=50K,0,False
16691,>50K,1,False
16692,>50K,1,False
16693,<=50K,0,False
16694,<=50K,0,False
16695,<=50K,0,False
16696,<=50K,0,False
16697,<=50K,0,False
16698,<=50K,0,False
16699,<=50K,0,False
16700,<=50K,0,False
16701,>50K,1,False
16702,<=50K,0,False
16703,>50K,1,False
16704,<=50K,0,False
16705,>50K,1,False
16706,<=50K,0,False
16707,<=50K,0,False
16708,<=50K,0,False
16709,<=50K,0,False
16710,<=50K,0,False
16711,>50K,1,False
16712,<=50K,0,False
16713,<=50K,0,False
16714,<=50K,0,False
16715,<=50K,0,False
16716,>50K,1,False
16717,<=50K,0,False
16718,<=50K,0,False
16719,<=50K,0,False
16720,<=50K,0,False
16721,<=50K,0,False
16722,>50K,1,False
16723,<=50K,0,False
16724,<=50K,0,False
16725,<=50K,0,False
16726,>50K,1,False
16727,<=50K,0,False
16728,<=50K,0,False
16729,<=50K,0,False
16730,<=50K,0,False
16731,<=50K,0,False
16732,<=50K,0,False
16733,>50K,1,False
16734,<=50K,0,False
16735,<=50K,0,False
16736,<=50K,0,False
16737,>50K,1,False
16738,<=50K,0,False
16739,>50K,1,False
16740,<=50K,0,False
16741,<=50K,0,False
16742,<=50K,0,False
16743,<=50K,0,False
16744,<=50K,0,False
16745,<=50K,0,False
16746,>50K,1,False
16747,<=50K,0,False
16748,<=50K,0,False
16749,<=50K,0,False
16750,<=50K,0,False
16751,<=50K,0,False
16752,<=50K,0,False
16753,<=50K,0,False
16754,<=50K,0,False
16755,<=50K,0,False
16756,>50K,1,False
16757,>50K,1,False
16758,<=50K,0,False
16759,<=50K,0,False
16760,<=50K,0,False
16761,<=50K,0,False
16762,<=50K,0,False
16763,<=50K,0,False
16764,>50K,1,False
16765,<=50K,0,False
16766,<=50K,0,False
16767,<=50K,0,False
16768,<=50K,0,False
16769,<=50K,0,False
16770,<=50K,0,False
16771,>50K,1,False
16772,>50K,1,False
16773,<=50K,0,False
16774,>50K,1,False
16775,<=50K,0,False
16776,<=50K,0,False
16777,>50K,1,False
16778,<=50K,0,False
16779,<=50K,0,False
16780,<=50K,0,False
16781,<=50K,0,False
16782,<=50K,0,False
16783,<=50K,0,False
16784,<=50K,0,False
16785,<=50K,0,False
16786,>50K,1,False
16787,<=50K,0,False
16788,<=50K,0,False
16789,<=50K,0,False
16790,>50K,1,False
16791,<=50K,0,False
16792,<=50K,0,False
16793,<=50K,0,False
16794,<=50K,0,False
16795,<=50K,0,False
16796,<=50K,0,False
16797,>50K,1,False
16798,>50K,1,False
16799,<=50K,0,False
16800,>50K,1,False
16801,<=50K,0,False
16802,>50K,1,False
16803,<=50K,0,False
16804,<=50K,0,False
16805,>50K,1,False
16806,<=50K,0,False
16807,<=50K,0,False
16808,>50K,1,False
16809,<=50K,0,False
16810,<=50K,0,False
16811,<=50K,0,False
16812,<=50K,0,False
16813,>50K,1,False
16814,<=50K,0,False
16815,>50K,1,False
16816,<=50K,0,False
16817,<=50K,0,False
16818,<=50K,0,False
16819,<=50K,0,False
16820,<=50K,0,False
16821,>50K,1,False
16822,<=50K,0,False
16823,<=50K,0,False
16824,<=50K,0,False
16825,>50K,1,False
16826,<=50K,0,False
16827,<=50K,0,False
16828,<=50K,0,False
16829,<=50K,0,False
16830,<=50K,0,False
16831,>50K,1,False
16832,<=50K,0,False
16833,>50K,1,False
16834,<=50K,0,False
16835,<=50K,0,False
16836,<=50K,0,False
16837,<=50K,0,False
16838,<=50K,0,False
16839,<=50K,0,False
16840,>50K,1,False
16841,<=50K,0,False
16842,<=50K,0,False
16843,<=50K,0,False
16844,>50K,1,False
16845,<=50K,0,False
16846,<=50K,0,False
16847,>50K,1,False
16848,<=50K,0,False
16849,<=50K,0,False
16850,<=50K,0,False
16851,<=50K,0,False
16852,<=50K,0,False
16853,<=50K,0,False
16854,<=50K,0,False
16855,<=50K,0,False
16856,<=50K,0,False
16857,<=50K,0,False
16858,<=50K,0,False
16859,<=50K,0,False
16860,<=50K,0,False
16861,<=50K,0,False
16862,<=50K,0,False
16863,<=50K,0,False
16864,>50K,1,False
16865,>50K,1,False
16866,<=50K,0,False
16867,<=50K,0,False
16868,<=50K,0,False
16869,<=50K,0,False
16870,<=50K,0,False
16871,>50K,1,False
16872,<=50K,0,False
16873,<=50K,0,False
16874,>50K,1,False
16875,<=50K,0,False
16876,<=50K,0,False
16877,<=50K,0,False
16878,>50K,1,False
16879,<=50K,0,False
16880,>50K,1,False
16881,<=50K,0,False
16882,>50K,1,False
16883,<=50K,0,False
16884,<=50K,0,False
16885,<=50K,0,False
16886,<=50K,0,False
16887,<=50K,0,False
16888,<=50K,0,False
16889,<=50K,0,False
16890,<=50K,0,False
16891,<=50K,0,False
16892,<=50K,0,False
16893,>50K,1,False
16894,<=50K,0,False
16895,<=50K,0,False
16896,<=50K,0,False
16897,<=50K,0,False
16898,<=50K,0,False
16899,<=50K,0,False
16900,<=50K,0,False
16901,>50K,1,False
16902,<=50K,0,False
16903,<=50K,0,False
16904,>50K,1,False
16905,<=50K,0,False
16906,>50K,1,False
16907,<=50K,0,False
16908,>50K,1,False
16909,<=50K,0,False
16910,>50K,1,False
16911,>50K,1,False
16912,<=50K,0,False
16913,<=50K,0,False
16914,>50K,1,False
16915,>50K,1,False
16916,>50K,1,False
16917,<=50K,0,False
16918,<=50K,0,False
16919,<=50K,0,False
16920,<=50K,0,False
16921,>50K,1,False
16922,<=50K,0,False
16923,<=50K,0,False
16924,<=50K,0,False
16925,>50K,1,False
16926,>50K,1,False
16927,<=50K,0,False
16928,>50K,1,False
16929,<=50K,0,False
16930,<=50K,0,False
16931,<=50K,0,False
16932,>50K,1,False
16933,<=50K,0,False
16934,<=50K,0,False
16935,<=50K,0,False
16936,<=50K,0,False
16937,<=50K,0,False
16938,<=50K,0,False
16939,<=50K,0,False
16940,<=50K,0,False
16941,>50K,1,False
16942,<=50K,0,False
16943,<=50K,0,False
16944,<=50K,0,False
16945,>50K,1,False
16946,>50K,1,False
16947,<=50K,0,False
16948,<=50K,0,False
16949,<=50K,0,False
16950,<=50K,0,False
16951,<=50K,0,False
16952,>50K,1,False
16953,<=50K,0,False
16954,<=50K,0,False
16955,>50K,1,False
16956,<=50K,0,False
16957,<=50K,0,False
16958,<=50K,0,False
16959,>50K,1,False
16960,<=50K,0,False
16961,<=50K,0,False
16962,<=50K,0,False
16963,<=50K,0,False
16964,<=50K,0,False
16965,<=50K,0,False
16966,>50K,1,False
16967,<=50K,0,False
16968,<=50K,0,False
16969,<=50K,0,False
16970,<=50K,0,False
16971,<=50K,0,False
16972,>50K,1,False
16973,<=50K,0,False
16974,<=50K,0,False
16975,<=50K,0,False
16976,<=50K,0,False
16977,>50K,1,False
16978,>50K,1,False
16979,<=50K,0,False
16980,<=50K,0,False
16981,<=50K,0,False
16982,<=50K,0,False
16983,<=50K,0,False
16984,<=50K,0,False
16985,<=50K,0,False
16986,<=50K,0,False
16987,<=50K,0,False
16988,<=50K,0,False
16989,<=50K,0,False
16990,<=50K,0,False
16991,<=50K,0,False
16992,>50K,1,False
16993,<=50K,0,False
16994,>50K,1,False
16995,<=50K,0,False
16996,<=50K,0,False
16997,<=50K,0,False
16998,<=50K,0,False
16999,<=50K,0,False
17000,<=50K,0,False
17001,<=50K,0,False
17002,<=50K,0,False
17003,<=50K,0,False
17004,<=50K,0,False
17005,<=50K,0,False
17006,>50K,1,False
17007,<=50K,0,False
17008,<=50K,0,False
17009,<=50K,0,False
17010,>50K,1,False
17011,<=50K,0,False
17012,<=50K,0,False
17013,<=50K,0,False
17014,>50K,1,False
17015,<=50K,0,False
17016,<=50K,0,False
17017,<=50K,0,False
17018,>50K,1,False
17019,<=50K,0,False
17020,<=50K,0,False
17021,>50K,1,False
17022,<=50K,0,False
17023,<=50K,0,False
17024,>50K,1,False
17025,<=50K,0,False
17026,<=50K,0,False
17027,>50K,1,False
17028,<=50K,0,False
17029,>50K,1,False
17030,<=50K,0,False
17031,<=50K,0,False
17032,<=50K,0,False
17033,<=50K,0,False
17034,>50K,1,False
17035,<=50K,0,False
17036,>50K,1,False
17037,<=50K,0,False
17038,<=50K,0,False
17039,>50K,1,False
17040,<=50K,0,False
17041,<=50K,0,False
17042,<=50K,0,False
17043,>50K,1,False
17044,<=50K,0,False
17045,<=50K,0,False
17046,>50K,1,False
17047,<=50K,0,False
17048,>50K,1,False
17049,<=50K,0,False
17050,<=50K,0,False
17051,<=50K,0,False
17052,>50K,1,False
17053,<=50K,0,False
17054,<=50K,0,False
17055,<=50K,0,False
17056,>50K,1,False
17057,<=50K,0,False
17058,<=50K,0,False
17059,<=50K,0,False
17060,<=50K,0,False
17061,<=50K,0,False
17062,>50K,1,False
17063,<=50K,0,False
17064,<=50K,0,False
17065,<=50K,0,False
17066,<=50K,0,False
17067,>50K,1,False
17068,>50K,1,False
17069,<=50K,0,False
17070,>50K,1,False
17071,<=50K,0,False
17072,<=50K,0,False
17073,<=50K,0,False
17074,<=50K,0,False
17075,<=50K,0,False
17076,<=50K,0,False
17077,>50K,1,False
17078,>50K,1,False
17079,<=50K,0,False
17080,<=50K,0,False
17081,<=50K,0,False
17082,<=50K,0,False
17083,<=50K,0,False
17084,<=50K,0,False
17085,<=50K,0,False
17086,<=50K,0,False
17087,>50K,1,False
17088,>50K,1,False
17089,<=50K,0,False
17090,>50K,1,False
17091,<=50K,0,False
17092,<=50K,0,False
17093,<=50K,0,False
17094,<=50K,0,False
17095,<=50K,0,False
17096,<=50K,0,False
17097,<=50K,0,False
17098,<=50K,0,False
17099,<=50K,0,False
17100,<=50K,0,False
17101,<=50K,0,False
17102,<=50K,0,False
17103,>50K,1,False
17104,<=50K,0,False
17105,<=50K,0,False
17106,<=50K,0,False
17107,<=50K,0,False
17108,<=50K,0,False
17109,<=50K,0,False
17110,<=50K,0,False
17111,<=50K,0,False
17112,<=50K,0,False
17113,<=50K,0,False
17114,<=50K,0,False
17115,<=50K,0,False
17116,<=50K,0,False
17117,<=50K,0,False
17118,<=50K,0,False
17119,>50K,1,False
17120,<=50K,0,False
17121,>50K,1,False
17122,>50K,1,False
17123,<=50K,0,False
17124,>50K,1,False
17125,<=50K,0,False
17126,>50K,1,False
17127,<=50K,0,False
17128,<=50K,0,False
17129,<=50K,0,False
17130,<=50K,0,False
17131,<=50K,0,False
17132,>50K,1,False
17133,>50K,1,False
17134,<=50K,0,False
17135,<=50K,0,False
17136,>50K,1,False
17137,<=50K,0,False
17138,<=50K,0,False
17139,<=50K,0,False
17140,<=50K,0,False
17141,<=50K,0,False
17142,>50K,1,False
17143,<=50K,0,False
17144,<=50K,0,False
17145,>50K,1,False
17146,>50K,1,False
17147,<=50K,0,False
17148,<=50K,0,False
17149,>50K,1,False
17150,<=50K,0,False
17151,>50K,1,False
17152,<=50K,0,False
17153,>50K,1,False
17154,<=50K,0,False
17155,>50K,1,False
17156,<=50K,0,False
17157,<=50K,0,False
17158,>50K,1,False
17159,<=50K,0,False
17160,<=50K,0,False
17161,<=50K,0,False
17162,>50K,1,False
17163,<=50K,0,False
17164,<=50K,0,False
17165,<=50K,0,False
17166,<=50K,0,False
17167,>50K,1,False
17168,<=50K,0,False
17169,<=50K,0,False
17170,<=50K,0,False
17171,<=50K,0,False
17172,<=50K,0,False
17173,<=50K,0,False
17174,<=50K,0,False
17175,>50K,1,False
17176,<=50K,0,False
17177,>50K,1,False
17178,>50K,1,False
17179,>50K,1,False
17180,<=50K,0,False
17181,<=50K,0,False
17182,<=50K,0,False
17183,>50K,1,False
17184,<=50K,0,False
17185,<=50K,0,False
17186,<=50K,0,False
17187,<=50K,0,False
17188,<=50K,0,False
17189,<=50K,0,False
17190,>50K,1,False
17191,>50K,1,False
17192,<=50K,0,False
17193,>50K,1,False
17194,>50K,1,False
17195,>50K,1,False
17196,<=50K,0,False
17197,<=50K,0,False
17198,<=50K,0,False
17199,<=50K,0,False
17200,<=50K,0,False
17201,>50K,1,False
17202,<=50K,0,False
17203,<=50K,0,False
17204,<=50K,0,False
17205,<=50K,0,False
17206,<=50K,0,False
17207,>50K,1,False
17208,>50K,1,False
17209,<=50K,0,False
17210,<=50K,0,False
17211,<=50K,0,False
17212,<=50K,0,False
17213,>50K,1,False
17214,<=50K,0,False
17215,<=50K,0,False
17216,<=50K,0,False
17217,<=50K,0,False
17218,>50K,1,False
17219,<=50K,0,False
17220,<=50K,0,False
17221,>50K,1,False
17222,<=50K,0,False
17223,<=50K,0,False
17224,<=50K,0,False
17225,<=50K,0,False
17226,<=50K,0,False
17227,<=50K,0,False
17228,<=50K,0,False
17229,<=50K,0,False
17230,<=50K,0,False
17231,<=50K,0,False
17232,<=50K,0,False
17233,<=50K,0,False
17234,<=50K,0,False
17235,<=50K,0,False
17236,<=50K,0,False
17237,<=50K,0,False
17238,>50K,1,False
17239,<=50K,0,False
17240,<=50K,0,False
17241,<=50K,0,False
17242,>50K,1,False
17243,<=50K,0,False
17244,<=50K,0,False
17245,>50K,1,False
17246,>50K,1,False
17247,<=50K,0,False
17248,<=50K,0,False
17249,<=50K,0,False
17250,<=50K,0,False
17251,>50K,1,False
17252,<=50K,0,False
17253,<=50K,0,False
17254,>50K,1,False
17255,<=50K,0,False
17256,<=50K,0,False
17257,<=50K,0,False
17258,>50K,1,False
17259,<=50K,0,False
17260,>50K,1,False
17261,<=50K,0,False
17262,<=50K,0,False
17263,<=50K,0,False
17264,<=50K,0,False
17265,>50K,1,False
17266,<=50K,0,False
17267,<=50K,0,False
17268,<=50K,0,False
17269,<=50K,0,False
17270,<=50K,0,False
17271,<=50K,0,False
17272,<=50K,0,False
17273,<=50K,0,False
17274,<=50K,0,False
17275,<=50K,0,False
17276,<=50K,0,False
17277,<=50K,0,False
17278,>50K,1,False
17279,<=50K,0,False
17280,<=50K,0,False
17281,<=50K,0,False
17282,<=50K,0,False
17283,<=50K,0,False
17284,<=50K,0,False
17285,<=50K,0,False
17286,>50K,1,False
17287,<=50K,0,False
17288,<=50K,0,False
17289,>50K,1,False
17290,<=50K,0,False
17291,<=50K,0,False
17292,<=50K,0,False
17293,<=50K,0,False
17294,>50K,1,False
17295,<=50K,0,False
17296,>50K,1,False
17297,<=50K,0,False
17298,<=50K,0,False
17299,<=50K,0,False
17300,<=50K,0,False
17301,<=50K,0,False
17302,>50K,1,False
17303,<=50K,0,False
17304,<=50K,0,False
17305,<=50K,0,False
17306,>50K,1,False
17307,<=50K,0,False
17308,<=50K,0,False
17309,<=50K,0,False
17310,<=50K,0,False
17311,<=50K,0,False
17312,<=50K,0,False
17313,<=50K,0,False
17314,<=50K,0,False
17315,<=50K,0,False
17316,<=50K,0,False
17317,<=50K,0,False
17318,<=50K,0,False
17319,<=50K,0,False
17320,<=50K,0,False
17321,<=50K,0,False
17322,<=50K,0,False
17323,<=50K,0,False
17324,<=50K,0,False
17325,<=50K,0,False
17326,<=50K,0,False
17327,>50K,1,False
17328,<=50K,0,False
17329,>50K,1,False
17330,<=50K,0,False
17331,<=50K,0,False
17332,<=50K,0,False
17333,<=50K,0,False
17334,<=50K,0,False
17335,<=50K,0,False
17336,>50K,1,False
17337,<=50K,0,False
17338,>50K,1,False
17339,<=50K,0,False
17340,>50K,1,False
17341,>50K,1,False
17342,>50K,1,False
17343,<=50K,0,False
17344,<=50K,0,False
17345,<=50K,0,False
17346,<=50K,0,False
17347,<=50K,0,False
17348,<=50K,0,False
17349,<=50K,0,False
17350,<=50K,0,False
17351,<=50K,0,False
17352,<=50K,0,False
17353,<=50K,0,False
17354,<=50K,0,False
17355,>50K,1,False
17356,<=50K,0,False
17357,<=50K,0,False
17358,<=50K,0,False
17359,<=50K,0,False
17360,<=50K,0,False
17361,<=50K,0,False
17362,<=50K,0,False
17363,<=50K,0,False
17364,<=50K,0,False
17365,<=50K,0,False
17366,>50K,1,False
17367,>50K,1,False
17368,<=50K,0,False
17369,>50K,1,False
17370,>50K,1,False
17371,<=50K,0,False
17372,>50K,1,False
17373,<=50K,0,False
17374,<=50K,0,False
17375,<=50K,0,False
17376,>50K,1,False
17377,<=50K,0,False
17378,<=50K,0,False
17379,<=50K,0,False
17380,>50K,1,False
17381,<=50K,0,False
17382,<=50K,0,False
17383,<=50K,0,False
17384,<=50K,0,False
17385,>50K,1,False
17386,<=50K,0,False
17387,<=50K,0,False
17388,<=50K,0,False
17389,<=50K,0,False
17390,<=50K,0,False
17391,>50K,1,False
17392,<=50K,0,False
17393,>50K,1,False
17394,<=50K,0,False
17395,>50K,1,False
17396,<=50K,0,False
17397,<=50K,0,False
17398,<=50K,0,False
17399,<=50K,0,False
17400,<=50K,0,False
17401,<=50K,0,False
17402,<=50K,0,False
17403,<=50K,0,False
17404,<=50K,0,False
17405,<=50K,0,False
17406,<=50K,0,False
17407,>50K,1,False
17408,<=50K,0,False
17409,<=50K,0,False
17410,<=50K,0,False
17411,<=50K,0,False
17412,>50K,1,False
17413,<=50K,0,False
17414,<=50K,0,False
17415,>50K,1,False
17416,<=50K,0,False
17417,>50K,1,False
17418,<=50K,0,False
17419,>50K,1,False
17420,<=50K,0,False
17421,<=50K,0,False
17422,<=50K,0,False
17423,<=50K,0,False
17424,<=50K,0,False
17425,<=50K,0,False
17426,<=50K,0,False
17427,<=50K,0,False
17428,<=50K,0,False
17429,<=50K,0,False
17430,<=50K,0,False
17431,<=50K,0,False
17432,>50K,1,False
17433,>50K,1,False
17434,>50K,1,False
17435,<=50K,0,False
17436,<=50K,0,False
17437,<=50K,0,False
17438,<=50K,0,False
17439,<=50K,0,False
17440,>50K,1,False
17441,<=50K,0,False
17442,<=50K,0,False
17443,<=50K,0,False
17444,<=50K,0,False
17445,<=50K,0,False
17446,<=50K,0,False
17447,>50K,1,False
17448,<=50K,0,False
17449,<=50K,0,False
17450,<=50K,0,False
17451,<=50K,0,False
17452,>50K,1,False
17453,<=50K,0,False
17454,>50K,1,False
17455,<=50K,0,False
17456,<=50K,0,False
17457,<=50K,0,False
17458,>50K,1,False
17459,>50K,1,False
17460,<=50K,0,False
17461,<=50K,0,False
17462,<=50K,0,False
17463,>50K,1,False
17464,<=50K,0,False
17465,<=50K,0,False
